Localidade,Endereco,M2,Preco,R$/M2,Latitude,Longitude,Tipo,Quarto,Banheiro,Vaga
"Cobertura para comprar com 143 m², 3 quartos, 3 banheiros, 4 vagas em Velha, Blumenau",,143.0,920000.0,6433.566433566433,-27.0797576,-48.9100801,Cobertura,3,3,4
"Apartamento para comprar com 27 m², 1 quarto, 1 banheiro, 1 vaga em Velha, Blumenau",,27.0,390000.0,14444.444444444443,-27.0797576,-48.9100801,Apartamento,1,1,1
"Apartamento para comprar com 167 m², 3 quartos, 2 banheiros em Jardim Blumenau, Blumenau",Rua Lauro Mueller,167.0,1100000.0,6586.826347305389,-26.9291311,-49.063395,Apartamento,3,2,0
"Casa para comprar com 220 m², 3 quartos, 3 banheiros, 3 vagas em Vila Nova, Blumenau",Rua Teófilo Otoni,220.0,530000.0,2409.090909090909,-26.902077,-49.0914527,Casa,3,3,3
"Apartamento para comprar com 120 m², 2 quartos, 3 banheiros, 2 vagas em Itoupava Norte, Blumenau",Rua Siderópolis,120.0,700000.0,5833.333333333333,-26.879532,-49.0835599,Apartamento,2,3,2
"Lote/Terreno para comprar com 520 m² em Valparaiso, Blumenau",Rua Antônio Zendron,520.0,299250.0,575.4807692307693,-26.9562907,-49.091685,Lote/Terreno,0,0,0
"Casa para comprar com 125 m², 2 quartos, 3 banheiros, 3 vagas em Passo Manso, Blumenau",,125.0,469000.0,3752.0,-27.0797576,-48.9100801,Casa,2,3,3
"Casa para comprar com 80 m², 2 quartos, 2 banheiros, 2 vagas em Badenfurt, Blumenau",,80.0,320000.0,4000.0,-27.0797576,-48.9100801,Casa,2,2,2
"Casa para comprar com 85 m², 2 quartos, 3 banheiros, 2 vagas em Badenfurt, Blumenau",,85.0,350000.0,4117.64705882353,-27.0797576,-48.9100801,Casa,2,3,2
"Casa para comprar com 66 m², 2 quartos, 2 banheiros, 1 vaga em Itoupava Norte, Blumenau",Rua Albert Martin,66.0,248552.0,3765.939393939394,-26.8684638,-49.0828116,Casa,2,2,1
"Sobrado para comprar com 86-90 m², 2 quartos, 2 banheiros, 1 vaga em Escola Agrícola, Blumenau",,90.0,465000.0,5166.666666666667,-27.0797576,-48.9100801,Sobrado,2,2,1
"Apartamento para comprar com 62-64 m², 2 quartos, 2 banheiros, 1 vaga em Fortaleza, Blumenau",,64.0,399000.0,6234.375,-27.0797576,-48.9100801,Apartamento,2,2,1
"Apartamento para comprar com 38 m², 1 quarto, 1 banheiro, 2 vagas em Progresso, Blumenau",Rua João Deola,38.0,160000.0,4210.526315789473,-26.9874747,-49.079381,Apartamento,1,1,2
"Apartamento para comprar com 118-130 m², 3 quartos, 2 banheiros, 2 vagas em Vila Formosa, Blumenau",Rua Hermann Huscher,130.0,1300000.0,10000.0,-26.9366946,-49.0694576,Apartamento,3,2,2
"Apartamento para comprar com 68 m², 2 quartos, 2 banheiros, 1 vaga em Velha Central, Blumenau",,68.0,360000.0,5294.117647058823,-27.0797576,-48.9100801,Apartamento,2,2,1
"Apartamento para comprar com 43 m², 2 quartos, 1 banheiro, 1 vaga em Progresso, Blumenau",Rua João Deola,43.0,245000.0,5697.674418604651,-26.9874747,-49.079381,Apartamento,2,1,1
"Lote/Terreno para comprar com 1211 m² em Velha Central, Blumenau",Rua Carl Kaun,1211.0,950000.0,784.4756399669694,-26.9370036,-49.1505769,Lote/Terreno,0,0,0
